Country,category,Quantity,Revenue,t_Order,t_amount
United Kingdom,Decor,677108,1229634.67,4250328,8167128.184
Netherlands,Kids,34853,48443.02,200128,284661.54
EIRE,Kitchen,33508,70318.58,142495,262993.38
Germany,Kitchen,23258,42960.18,117341,221509.47
France,Kitchen,19878,30708.73,110438,197317.11
Australia,Kitchen,18540,35438.58,83643,137009.77
Sweden,Kitchen,11296,12473.52,35632,36585.41
Belgium,Kitchen,6385,7882.14,23152,40910.96
Switzerland,Kitchen,5422,9976.74,30313,56363.05
Spain,Kitchen,4829,9682.79,26817,54756.03
Norway,Kitchen,3913,6187.29,19247,35163.46
Japan,Kids,3849,2938.52,25218,35340.62
Portugal,Bags,3673,6532.96,16153,29302.97
Finland,Kitchen,2236,2859.29,10666,22326.74
Channel Islands,Kitchen,1692,3464.2,9473,20076.39
Denmark,Kitchen,1590,2179.2,8188,18768.14
Cyprus,Decor,1511,1754.1100000000001,6296,12858.76
Hong Kong,Kitchen,1468,2351.48,4709,9908.24
Poland,Kitchen,1383,2853.41,3653,7213.14
Italy,Kitchen,1307,3272.05,7999,16890.51
Israel,Kitchen,1089,2195.79,4350,7901.97
Canada,Kitchen,917,1161.21,2763,3666.38
Austria,Kitchen,864,1557.44,4827,10154.32
Singapore,Craft,808,731.44,5234,9120.39
Iceland,Kitchen,567,940.53,2458,4310.0
Unspecified,Kitchen,473,609.91,3295,4740.94
USA,Kitchen,447,783.47,1034,1730.92
Greece,Kitchen,299,1242.13,1556,4710.52
United Arab Emirates,Decor,262,534.54,982,1902.28
Malta,Kitchen,232,712.92,944,2505.47
Czech Republic,Craft,192,92.16,592,707.72
Lithuania,Craft,184,622.16,652,1661.06
Brazil,Kitchen,142,488.94,356,1143.6
European Community,Kitchen,128,355.6,497,1291.75
Lebanon,Decor,104,352.48,386,1693.88
RSA,Bags,101,181.95,352,1002.3100000000001
Bahrain,Kitchen,62,246.9,260,548.4
Saudi Arabia,Kids,12,19.799999999999997,75,131.17
